Depth(km), Gravity(cm/s^2)
6371.0, 0.0
6271.0, 35.55
6171.0, 73.11
6071.0, 109.51
5971.0, 145.04
5871.0, 152.39
5771.0, 218.62
5671.0, 254.73
5571.0, 290.50
5471.0, 325.45
5371.0, 352.03
5271.0, 397.39
5171.0, 432.51
5149.5, 440.02
5071.0, 453.50
4971.0, 494.13
4871.0, 524.77
4771.0, 555.49
4671.0, 505.14
4571.0, 515.59
4471.0, 547.04
4371.0, 577.15
4271.0, 705.97
4171.0, 735.45
4071.0, 755.55
3971.0, 794.25
3871.0, 822.48
3771.0, 050.23
3671.0, 077.45
3571.0, 904.14
3471.0, 930.23
3371.0, 955.70
3271.0, 930.5
3171.0, 1004.54
3071.0, 1028.04
2971.0, 1050.59
2891.0, 1068.23
2891.0, 1050.23
2871.0, 1055.32
2771.0, 1052.04
2741.0, 1040.44
2741.0, 1040.44
2671.0, 1040.55
2571.0, 1030.95
2471.0, 1022.72
2371.0, 1015.30
2271.0, 1010.06
2171.0, 1005.35
2071.0, 1001.56
1971.0, 998.59
1871.0, 996.35
1771.0, 994.74
1671.0, 993.69
1571.0, 993.14
1471.0, 993.01
1371.0, 993.26
1271.0, 993.83
1171.0, 994.67
1071.0, 995.73
971.0, 996.98
871.0, 998.3
771.0, 999.85
721.0, 1000.63
670.0, 1001.43
635.0, 1000.88
600.0, 1000.38
550.0, 999.65
500.0, 998.83
450.0, 997.90
400.0, 996.86
355.0, 995.22
310.0, 993.61
265.0, 992.03
220.0, 990.48
220.0, 990.48
185.0, 989.11
150.0, 987.83
115.0, 986.64
80.0, 985.53
60.0, 984.93
40.0, 984.37
24.4, 983.94
15.0, 983.32
3.0, 982.22
0.0, 981.56
